Match,Team,Commence Time UTC,BetMGM,BetOnline.ag,BetRivers,Bovada,DraftKings,FanDuel,LowVig.ag,last_updated
Canada vs El Salvador,Canada,2025-06-25T02:00:00Z,1.25,1.26,1.24,1.26,1.26,1.23,1.26,2025-06-22 19:27:11-05:00
Canada vs El Salvador,Draw,2025-06-25T02:00:00Z,6.0,5.87,6.4,5.6,6.0,6.0,5.87,2025-06-22 19:27:11-05:00
Canada vs El Salvador,El Salvador,2025-06-25T02:00:00Z,10.5,9.32,12.0,9.25,10.5,10.5,9.32,2025-06-22 19:27:11-05:00
Dominican Republic vs Suriname,Dominican Republic,2025-06-23T02:00:00Z,2.75,2.88,2.85,2.65,2.85,2.85,2.88,2025-06-22 19:27:11-05:00
Dominican Republic vs Suriname,Draw,2025-06-23T02:00:00Z,3.7,3.95,3.5,3.6,3.8,3.5,3.95,2025-06-22 19:27:11-05:00
Dominican Republic vs Suriname,Suriname,2025-06-23T02:00:00Z,2.25,2.22,2.43,2.35,2.35,2.3,2.22,2025-06-22 19:27:11-05:00
Guadeloupe vs Guatemala,Draw,2025-06-24T23:00:00Z,3.4,3.61,3.7,3.35,3.55,3.4,3.61,2025-06-22 19:27:11-05:00
Guadeloupe vs Guatemala,Guadeloupe,2025-06-24T23:00:00Z,3.25,3.05,3.2,3.1,3.3,3.3,3.05,2025-06-22 19:27:11-05:00
Guadeloupe vs Guatemala,Guatemala,2025-06-24T23:00:00Z,2.1,2.15,2.16,2.2,2.2,2.1,2.15,2025-06-22 19:27:11-05:00
Honduras vs Curaçao,Curaçao,2025-06-25T02:00:00Z,3.3,3.23,3.5,3.35,3.35,3.4,3.23,2025-06-22 19:27:11-05:00
Honduras vs Curaçao,Draw,2025-06-25T02:00:00Z,3.4,3.28,3.35,3.15,3.35,3.3,3.28,2025-06-22 19:27:11-05:00
Honduras vs Curaçao,Honduras,2025-06-25T02:00:00Z,2.1,2.2,2.14,2.15,2.15,2.15,2.2,2025-06-22 19:27:11-05:00
Mexico vs Costa Rica,Costa Rica,2025-06-23T02:00:00Z,5.25,5.55,6.0,5.4,5.5,5.8,5.55,2025-06-22 19:27:11-05:00
Mexico vs Costa Rica,Draw,2025-06-23T02:00:00Z,3.8,3.88,3.9,3.8,3.9,3.7,3.88,2025-06-22 19:27:11-05:00
Mexico vs Costa Rica,Mexico,2025-06-23T02:00:00Z,1.62,1.63,1.6,1.59,1.65,1.61,1.63,2025-06-22 19:27:11-05:00
Panama vs Jamaica,Draw,2025-06-24T23:00:00Z,3.3,3.4,3.55,3.2,3.5,3.3,3.4,2025-06-22 19:27:11-05:00
Panama vs Jamaica,Jamaica,2025-06-24T23:00:00Z,3.0,3.25,3.1,3.05,3.35,3.1,3.25,2025-06-22 19:27:11-05:00
Panama vs Jamaica,Panama,2025-06-24T23:00:00Z,2.25,2.14,2.28,2.25,2.2,2.3,2.14,2025-06-22 19:27:11-05:00
Saudi Arabia vs Trinidad and Tobago,Draw,2025-06-22T23:06:00Z,2.45,,2.28,2.74,2.3,2.5,,2025-06-22 19:27:11-05:00
Saudi Arabia vs Trinidad and Tobago,Saudi Arabia,2025-06-22T23:06:00Z,1.67,,1.82,2.93,1.83,1.74,,2025-06-22 19:27:11-05:00
Saudi Arabia vs Trinidad and Tobago,Trinidad and Tobago,2025-06-22T23:06:00Z,10.5,,9.5,2.62,10.5,10.5,,2025-06-22 19:27:11-05:00
USA vs Haiti,Draw,2025-06-22T23:06:00Z,2.25,,2.43,2.66,2.4,2.3,,2025-06-22 19:27:11-05:00
USA vs Haiti,Haiti,2025-06-22T23:06:00Z,6.0,,6.5,5.75,8.0,7.5,,2025-06-22 19:27:11-05:00
USA vs Haiti,USA,2025-06-22T23:06:00Z,1.98,,1.88,1.85,1.87,2.0,,2025-06-22 19:27:11-05:00
