Match,Team,Commence Time UTC,BetRivers,last_updated
Atlético Nacional S.A vs Sao Paulo,Atlético Nacional S.A,2025-08-13T00:30:00Z,2.08,2025-06-22 19:26:33-05:00
Atlético Nacional S.A vs Sao Paulo,Draw,2025-08-13T00:30:00Z,3.3,2025-06-22 19:26:33-05:00
Atlético Nacional S.A vs Sao Paulo,Sao Paulo,2025-08-13T00:30:00Z,3.15,2025-06-22 19:26:33-05:00
Botafogo vs LDU Quito,Botafogo,2025-08-12T20:00:00Z,1.6,2025-06-22 19:26:33-05:00
Botafogo vs LDU Quito,Draw,2025-08-12T20:00:00Z,3.7,2025-06-22 19:26:33-05:00
Botafogo vs LDU Quito,LDU Quito,2025-08-12T20:00:00Z,5.0,2025-06-22 19:26:33-05:00
Cerro Porteño vs Estudiantes La Plata,Cerro Porteño,2025-08-13T22:00:00Z,2.5,2025-06-22 19:26:33-05:00
Cerro Porteño vs Estudiantes La Plata,Draw,2025-08-13T22:00:00Z,3.2,2025-06-22 19:26:33-05:00
Cerro Porteño vs Estudiantes La Plata,Estudiantes La Plata,2025-08-13T22:00:00Z,2.65,2025-06-22 19:26:33-05:00
Club Universitario de Deportes vs Palmeiras-SP,Club Universitario de Deportes,2025-08-12T20:00:00Z,4.6,2025-06-22 19:26:33-05:00
Club Universitario de Deportes vs Palmeiras-SP,Draw,2025-08-12T20:00:00Z,3.55,2025-06-22 19:26:33-05:00
Club Universitario de Deportes vs Palmeiras-SP,Palmeiras-SP,2025-08-12T20:00:00Z,1.67,2025-06-22 19:26:33-05:00
Flamengo-RJ vs Internacional-RS,Draw,2025-08-14T00:30:00Z,3.5,2025-06-22 19:26:33-05:00
Flamengo-RJ vs Internacional-RS,Flamengo-RJ,2025-08-14T00:30:00Z,1.64,2025-06-22 19:26:33-05:00
Flamengo-RJ vs Internacional-RS,Internacional-RS,2025-08-14T00:30:00Z,5.0,2025-06-22 19:26:33-05:00
Fortaleza-EC vs Velez Sarsfield,Draw,2025-08-12T22:00:00Z,3.85,2025-06-22 19:26:33-05:00
Fortaleza-EC vs Velez Sarsfield,Fortaleza-EC,2025-08-12T22:00:00Z,1.91,2025-06-22 19:26:33-05:00
Fortaleza-EC vs Velez Sarsfield,Velez Sarsfield,2025-08-12T22:00:00Z,3.2,2025-06-22 19:26:33-05:00
Libertad Asuncion vs River Plate,Draw,2025-08-12T20:00:00Z,3.2,2025-06-22 19:26:33-05:00
Libertad Asuncion vs River Plate,Libertad Asuncion,2025-08-12T20:00:00Z,3.65,2025-06-22 19:26:33-05:00
Libertad Asuncion vs River Plate,River Plate,2025-08-12T20:00:00Z,1.95,2025-06-22 19:26:33-05:00
Peñarol Montevideo vs Racing Club,Draw,2025-08-13T00:30:00Z,3.15,2025-06-22 19:26:33-05:00
Peñarol Montevideo vs Racing Club,Peñarol Montevideo,2025-08-13T00:30:00Z,2.23,2025-06-22 19:26:33-05:00
Peñarol Montevideo vs Racing Club,Racing Club,2025-08-13T00:30:00Z,3.05,2025-06-22 19:26:33-05:00
